Prefecture,Category,Place,Location
akita,Selection of best 100 beach,Kamayahama beach,
akita,Selection of best 100 beach,Miyazawa beach,
akita,Selection of best 100 beach,Kisakata beach,
akita,the 100 LocalLine of Japan,Akitanairiku Line,
akita,the 100 LocalLine of Japan,JR Gono Line,
akita,New Flower Mountains 100,Hachimantai,
akita,New Flower Mountains 100,AkitaKomagatake,
akita,New Flower Mountains 100,Mt.Kurikoma,
akita,New Flower Mountains 100,Mt.Chokai,
akita,The 100 New Japan Travel Destinations,Hachimantai,
akita,The 100 New Japan Travel Destinations,Tazawa lake,
akita,Japan Top 100 Sakura Viewing Sites,Hinokinai River embankment,
akita,Japan Top 100 Sakura Viewing Sites,Kakunodate Old samurai residences,
akita,Japan Top 100 Sakura Viewing Sites,Sensyu Park,Akita-shi Akita
akita,Japan Top 100 Sakura Viewing Sites,Mato park,Yokote-shi Akita
akita,Japan Sunset Best 100,Oga-shi,
akita,Japan Sunset Best 100,Kisakata-machi,
akita,Geology 100 selections of Japan,Osarizawa mine,
akita,Geology 100 selections of Japan,Oga Ichinomegata,
akita,Geology 100 selections of Japan,Chokaisan,
akita,The best 100th of Public Building,Akita Central Library Meitokukan . Akita,
akita,The best 100th of Public Building,Akita .,
akita,The best 100th of Public Building,Kakunodate post office . Akita Kakunodate .,
akita,the 100 Japanese hot springs,Nyuto Onsenkyo,
akita,the 100 Japanese hot springs,Goshougake Onsen,
akita,the 100 Japanese hot springs,Tamagawa Onsen,
akita,the 100 Japanese hot springs,Akinomiya Onsenkyo,
akita,100 Japanese bridge,Janosaki bridge,"Omachi Yokote, Akita"
akita,100 famous Pass in Japan,Hachimantai .,
akita,100 selections of Beautiful Japanese Village Landscape,Iseiji,Akita Nikaho
akita,100 selections of Beautiful Japanese Village Landscape,Minamiyurihara,Akita Ori
akita,100 selections of Beautiful Japanese Village Landscape,Iwaigawa,Akita Higashinaruse
akita,Japanese city park best 100,Senshu park,Akita
akita,The 100 elections of the waterfall in Japan,Tyagama Falls,"Kazuno, Akita"
akita,The 100 elections of the waterfall in Japan,Hottai Falls,Yurihonjo Akita
akita,The 100 elections of the waterfall in Japan,Yasu Falls,"Kitaakita City, Akita"
akita,The 100 elections of the waterfall in Japan,Nanadaru,"Kosaka Kazuno-gun, Akita"
akita,Hometown Rice Ball Onigiri Top 100,Damakkomochi,Akita
akita,Hometown Rice Ball Onigiri Top 100,Sushi roll of edible wild plants,Akita
akita,Hometown Rice Ball Onigiri Top 100,Akazushi,Akita
akita,Top 100 Dam Lake,Treasure Sen lake - Tamagawa Dam,Akita Semboku
akita,Top 100 Famous Water,Rokugo spring water group,Akita Senboku Misato
akita,Top 100 Famous Water,Tikaramizu,Akita Yuzawa Furudateyama
